customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
'C583110837','3','M','28007','M480139044','28007','es_health',44.26,1
'C1332295774','3','M','28007','M480139044','28007','es_health',324.5,1
'C1160421902','3','M','28007','M857378720','28007','es_hotelservices',176.32,1
'C966214713','3','M','28007','M857378720','28007','es_hotelservices',337.41,1
'C1450140987','4','F','28007','M1198415165','28007','es_wellnessandbeauty',220.11,1
'C60026962','2','F','28007','M1198415165','28007','es_wellnessandbeauty',4.32,1
'C1685492470','2','F','28007','M980657600','28007','es_sportsandtoys',278.02,1
'C1275518867','5','F','28007','M980657600','28007','es_sportsandtoys',69.53,1
'C1734487337','4','F','28007','M1741626453','28007','es_sportsandtoys',70.15,1
'C204205576','3','F','28007','M1741626453','28007','es_sportsandtoys',238.82,1
'C583110837','3','M','28007','M480139044','28007','es_health',667.09,1
'C1079254393','1','F','28007','M480139044','28007','es_health',520.5,1
'C330615170','2','F','28007','M1535107174','28007','es_wellnessandbeauty',190.53,1
'C330615170','2','F','28007','M1535107174','28007','es_wellnessandbeauty',451.92,1
'C1275518867','5','F','28007','M980657600','28007','es_sportsandtoys',305.11,1
'C1685492470','2','F','28007','M980657600','28007','es_sportsandtoys',764,1
'C1038215695','4','M','28007','M2122776122','28007','es_home',328.02,1
'C1764447156','3','F','28007','M2122776122','28007','es_home',707.22,1
'C555482626','3','F','28007','M209847108','28007','es_wellnessandbeauty',198.58,1
'C792341594','3','M','28007','M209847108','28007','es_wellnessandbeauty',304.21,1
'C2027310658','4','F','28007','M1535107174','28007','es_wellnessandbeauty',154.77,1
'C967677653','4','F','28007','M1535107174','28007','es_wellnessandbeauty',122.04,1
'C375144053','6','F','28007','M980657600','28007','es_sportsandtoys',881.04,1
'C375144053','6','F','28007','M980657600','28007','es_sportsandtoys',83.07,1
'C1490048317','6','F','28007','M209847108','28007','es_wellnessandbeauty',432.27,1
'C1490048317','6','F','28007','M209847108','28007','es_wellnessandbeauty',87.68,1
'C1685492470','2','F','28007','M480139044','28007','es_health',289.21,1
'C1275518867','5','F','28007','M480139044','28007','es_health',560.9,1
'C1977646698','3','F','28007','M1198415165','28007','es_wellnessandbeauty',135.11,1
'C1977646698','3','F','28007','M1198415165','28007','es_wellnessandbeauty',256.37,1
'C1560676680','2','F','28007','M1888755466','28007','es_otherservices',66.6,1
'C1171622243','5','M','28007','M1888755466','28007','es_otherservices',189.22,1
'C375144053','6','F','28007','M980657600','28007','es_sportsandtoys',364.68,1
'C525850964','2','F','28007','M980657600','28007','es_sportsandtoys',398.57,1
'C179390259','4','F','28007','M547558035','28007','es_fashion',119.81,1
'C179390259','4','F','28007','M547558035','28007','es_fashion',506.77,1
'C1685492470','2','F','28007','M980657600','28007','es_sportsandtoys',383.14,1
'C375144053','6','F','28007','M980657600','28007','es_sportsandtoys',321.7,1
'C1079254393','1','F','28007','M480139044','28007','es_health',908.5,1
'C1175850429','4','M','28007','M480139044','28007','es_health',142.86,1
'C1450140987','4','F','28007','M980657600','28007','es_sportsandtoys',255.14,1
'C1450140987','4','F','28007','M980657600','28007','es_sportsandtoys',21.93,1
'C1490048317','6','F','28007','M1535107174','28007','es_wellnessandbeauty',212.16,1
'C1143401925','1','F','28007','M1535107174','28007','es_wellnessandbeauty',329.13,1
'C436675602','2','M','28007','M480139044','28007','es_health',933.69,1
'C894204131','1','M','28007','M480139044','28007','es_health',132.13,1
'C583110837','3','M','28007','M3697346','28007','es_leisure',285.16,1
